_id,transaction_id,date,customer_id,items,total_amount,payment_method,location
668c4ebdd02642dcaf9f49ed,fef6a9c1-1fb8-4db0-a891-19c82b0cb5ef,2023-08-27 17:27:58.142,94e02413-5e35-45ea-b566-ee979bee463a,"[{'item_id': '4', 'item_name': 'Headphones', 'quantity': 4, 'price': 849.26}, {'item_id': '2', 'item_name': 'Smartphone', 'quantity': 9, 'price': 871.55}, {'item_id': '1', 'item_name': 'Laptop', 'quantity': 8, 'price': 358.69}, {'item_id': '4', 'item_name': 'Headphones', 'quantity': 10, 'price': 198.18}, {'item_id': '2', 'item_name': 'Smartphone', 'quantity': 1, 'price': 100.25}]",16192.560000000001,paypal,Alexandramouth
668c4ebdd02642dcaf9f49ee,68fe77d3-0340-480a-b666-ac1fb4bf5bd4,2023-11-16 19:51:16.848,5ac23fb8-d97c-44c6-b1bd-82e0418b1d17,"[{'item_id': '4', 'item_name': 'Headphones', 'quantity': 10, 'price': 260.5}, {'item_id': '3', 'item_name': 'Tablet', 'quantity': 6, 'price': 881.43}, {'item_id': '4', 'item_name': 'Headphones', 'quantity': 5, 'price': 704.72}]",11417.18,credit card,West Dale
668c4ebdd02642dcaf9f49ef,7dc55e6d-54d8-4238-a91f-2ef4252da346,2023-11-28 00:45:52.840,6bd0a15a-be68-4bb8-80bb-b33bda729270,"[{'item_id': '4', 'item_name': 'Headphones', 'quantity': 7, 'price': 290.44}, {'item_id': '4', 'item_name': 'Headphones', 'quantity': 9, 'price': 811.3}, {'item_id': '4', 'item_name': 'Headphones', 'quantity': 7, 'price': 227.21}]",10925.249999999998,credit card,East Jennastad
668c4ebdd02642dcaf9f49f0,679e9c06-f4ad-43e3-b45f-fc1d43eb430c,2024-03-07 21:07:16.598,6101a72f-5624-4a82-95c3-5308517441dd,"[{'item_id': '3', 'item_name': 'Tablet', 'quantity': 8, 'price': 792.8}, {'item_id': '5', 'item_name': 'Smartwatch', 'quantity': 10, 'price': 518.02}, {'item_id': '4', 'item_name': 'Headphones', 'quantity': 1, 'price': 347.42}, {'item_id': '5', 'item_name': 'Smartwatch', 'quantity': 4, 'price': 556.04}, {'item_id': '3', 'item_name': 'Tablet', 'quantity': 9, 'price': 208.85}]",15973.829999999998,credit card,South Amyhaven
668c4ebdd02642dcaf9f49f1,18379b37-5ef5-4532-af68-a84eb8fc7f60,2024-07-01 08:38:05.831,21bbcaea-7970-4762-93d1-5e045078e7ed,"[{'item_id': '2', 'item_name': 'Smartphone', 'quantity': 4, 'price': 247.02}, {'item_id': '1', 'item_name': 'Laptop', 'quantity': 10, 'price': 800.35}, {'item_id': '3', 'item_name': 'Tablet', 'quantity': 1, 'price': 590.19}, {'item_id': '5', 'item_name': 'Smartwatch', 'quantity': 5, 'price': 120.84}, {'item_id': '2', 'item_name': 'Smartphone', 'quantity': 5, 'price': 866.0}]",14515.970000000001,cash,West Meganfurt
668c4ebdd02642dcaf9f49f2,32a8df83-7483-41e8-8bdb-ec7223d7ad0b,2023-09-12 09:51:55.589,c27bbbf7-9a32-4458-bbd3-a86ff7da55ad,"[{'item_id': '5', 'item_name': 'Smartwatch', 'quantity': 7, 'price': 523.93}, {'item_id': '1', 'item_name': 'Laptop', 'quantity': 3, 'price': 275.61}, {'item_id': '5', 'item_name': 'Smartwatch', 'quantity': 1, 'price': 557.36}, {'item_id': '2', 'item_name': 'Smartphone', 'quantity': 8, 'price': 135.76}, {'item_id': '4', 'item_name': 'Headphones', 'quantity': 9, 'price': 867.72}]",13947.26,cash,Diazville
668c4ebdd02642dcaf9f49f3,cad1dc96-8886-4794-9935-a27597a414e5,2024-07-07 06:25:49.405,a84149c7-971d-41d8-808c-01becbab546d,"[{'item_id': '4', 'item_name': 'Headphones', 'quantity': 7, 'price': 398.71}, {'item_id': '5', 'item_name': 'Smartwatch', 'quantity': 2, 'price': 342.21}, {'item_id': '5', 'item_name': 'Smartwatch', 'quantity': 1, 'price': 857.75}, {'item_id': '2', 'item_name': 'Smartphone', 'quantity': 9, 'price': 704.65}]",10674.989999999998,credit card,Jameston
668c4ebdd02642dcaf9f49f4,78bcd41c-b0b6-487d-a931-8b2dc3351fe0,2024-01-11 17:01:04.034,6abad6cd-8b3c-4cbe-9962-7d2d72991a56,"[{'item_id': '1', 'item_name': 'Laptop', 'quantity': 6, 'price': 182.24}, {'item_id': '3', 'item_name': 'Tablet', 'quantity': 5, 'price': 451.82}, {'item_id': '4', 'item_name': 'Headphones', 'quantity': 4, 'price': 744.13}]",6329.0599999999995,credit card,Port Jonathanmouth
668c4ebdd02642dcaf9f49f5,8fd9cc38-fcda-4838-a22f-67c798062cb5,2024-01-02 08:04:35.164,1e448cb4-1460-40e6-aa9e-20f2926ea4eb,"[{'item_id': '5', 'item_name': 'Smartwatch', 'quantity': 3, 'price': 58.0}, {'item_id': '2', 'item_name': 'Smartphone', 'quantity': 2, 'price': 435.04}]",1044.08,paypal,North Oscar
668c4ebdd02642dcaf9f49f6,ea7a0aa7-6cb0-4d7a-9281-424c42c560d9,2023-10-23 08:18:37.314,e471961f-d784-448a-883c-9b665f80782f,"[{'item_id': '2', 'item_name': 'Smartphone', 'quantity': 5, 'price': 732.63}, {'item_id': '2', 'item_name': 'Smartphone', 'quantity': 2, 'price': 172.77}, {'item_id': '4', 'item_name': 'Headphones', 'quantity': 2, 'price': 674.67}, {'item_id': '1', 'item_name': 'Laptop', 'quantity': 8, 'price': 217.03}]",7094.2699999999995,paypal,Stephensonchester
